Job_title; Location; Salary; Company_name; Job_description 
Fullstack Software Engineer;Manchester, Greater Manchester;Up to £95000 per annum + + fantastic benefits;Searchability (UK) Ltd;* JAVASCRIPT / REACT / NODE / AWS * MUST be eligible for SC security clearance * Salary up to £95k * Hybrid Working We service a range of industries, creating and delivering high quality business solutions to help our clients day-to-day! We make real change within these businesses and are looking for someone who will match our enthusiasm for producing the right solutions every time. We have a supportive culture, putting collaboration and innovation in the centre of what we do, and as such have close-knit teams designed to create a great working environment. This Senior Full Stack JavaScript Developer role sits within the Experience Engineering Team unit, you'll be predominantly focusing on building digital experiences via full stack web and mobile applications.
Backend Software Engineer;Manchester, Greater Manchester;£55000 - £75000 per annum;Searchability (UK) Ltd;* C# // .NetCore // AWS // £ 65,000 - £75,000 // Greater Manchester * Hybrid - 2 Days in the office per month Fast-paced & forward-thinking role with an ambitious start-up software house. We've inherited a very successful product, and are looking to expand its use to a variety of new sporting events, as well as enhance a new and modern form of fantasy gaming. We work in an Agile and innovative environment, building, enhancing and maintaining our products to ensure we are meeting our long term objectives. Our team focuses on technology strategy, design and delivery. We are looking for an energetic and self-starting Backend Developer with a minimum of 2 years C# (.Net Core) experience. We are looking for someone with strong communication skills to discuss with colleagues and improve when writing and testing code. * Flexible working * Company Shares * Life Insurance
Software Engineer (GoLang) up to 115K- Fully Remote;M1, Manchester;Unspecified;Sanderson Recruitment;Software Engineer (GoLang) 70k-115k depending on experience Fully remote We are representing an award-winning multi-service provider who are looking for Software engineers to join their team fully remote. They are looking for a developer with Go experience who will be part of a dynamic team designing and delivering a payments platform. If you enjoy a delivery focused, fast paced environment and are a motivated individual then this is the role for you! We will consider a range of engineers from a range of different programming disciplines and cross train people into GO or GoLang. You will have a passion to learn and develop into the GoLang space. * Experience of OO or functional programming languages such as JavaScript, Java, React, Node, Python and C++ * Experience of Go / GoLang will be highly desirable and ideal
Graduate Software Engineer Java;Prescot, Merseyside;£21000 - £32000 per annum + Benefits;Ascent People Ltd;Junior Software Engineer, Graduate Software Developer, Java Developer Are you a recent Software engineering or Computer Science graduate? OR are you a junior software engineer looking to work at a better company and gain great career progression? If so, this one is for you! My client is a global company that has been established for many years. They have an excellent reputation for developing graduate careers They are looking for a junior software engineer/graduate software developer to join them and train up as a Java developer. JOB RESPONSIBILITIES
Software Engineers Android & iOS iPlayer Mobile;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction We are looking for Software Engineers to join the iPlayer Mobile team. BBC iPlayer is one of the UK's most well-known and loved brands, and we're looking for passionate team members to join our collaborative, cross-discipline, agile teams. We welcome applications from all, regardless of age, gender, ethnicity, disability, sexuality, social background, religion and/or belief. As a Software Engineer for the iPlayer Mobile team, you will have the opportunity to join an engineering team that delivers an intuitive and engaging streaming experience to millions of audience members every day. To be successful in this role you will need a good understanding of object-oriented programming, clean architecture, and test-driven development. We usually work in Kotlin/Java (Android), and Swift/Objective-C (iOS) so experience with these
Principal Android Software Engineer iPlayer;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction We are looking for a Principal Android Software Engineer to join the iPlayer Mobile team. BBC iPlayer is one of the UK's most well-known and loved brands, and we're looking for passionate team members to join our collaborative, cross-discipline, agile teams. We welcome applications from all, regardless of age, gender, ethnicity, disability, sexuality, social background, religion and/or belief. As a Principal Software Engineer for the iPlayer Mobile team, you will be one of the technical experts in the Android engineering space. We want to ensure that our applications continue to be world class, and we are looking for someone who is passionate about application architecture and engineering excellence, and who is motivated by the challenge of ensuring that our application is fit to meet our product ambitions of the future.
Software Engineer - Children's Games Engineering;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction The Games team oversees all the games you can find across the world famous CBeebies and CBBC product portfolio. We're a small team that cares about building quality products for kids who love games. * Games Hosting - AWS backed infrastructure with a React front end * In-house Game Engines - HTML5/JavaScript engines based on PixiJS and Phaser * Delivery Pipeline - Maintenance and development of CI pipeline and SDK and guidelines * Testing Tools - Various tools to aid with QA and debugging of HTML5 games * Games Portfolio - Portfolio of over 300 games Our long-term strategy is to improve and redefine how games are made and delivered at the BBC and ultimately improve the important role they play in the organisation.. Join us for an engaging experience with a unique set of challenges rather unlike anything else you get in the world of web development.
Software Engineer - Silver;Salford, Greater Manchester;Competitive Salary + Benefits;BBC;Job Introduction We are looking for a talented Software Engineer, with a good balance of technical and communication skills. You will be working with project, product, business analyst and technical leads to understand requirements and implement suitable technical solutions. The team is currently made of 3 engineers and is looking to expand. Comprising a unique mix of front-end, back-end and broadcasting expertise, we are a highly collaborative team. We value our staff, offering regular training and development opportunities, as well as 'innovation time' - allowing dedicated time for self-improvement, learning and innovation. We take the time to reflect and improve on how we are working through team retrospectives and individual mentoring. We are a hard-working team who is supportive, who cares about each other and promotes a healthy work-life balance.
Software Engineer;WA1, Warrington;£31931 - £34709 per annum;Science and Technology Facilities Council (STFC);Salary: £31,931 - £34,709 gross per annum Location: Daresbury, Warrington Positions: 2 x Open Ended Hours: Full Time (We understand the importance of work-life balance, and are happy to discuss the possibility of flexible working with applicants) An allowance up to £1000 may be available for candidates with high levels of skills and experience The Role If you're looking to use the very latest open-source frameworks and APIs on the client and server in real world applications in a role with career prospects, extensive benefits, and learning & development that is second to none, then this is the job for you. Hartree's mission is to accelerate the adoption of cutting-edge computing to allow the organisations we work with to be innovators in their fields.
Java Software Engineer - Home Working;Blackburn, Lancashire;£32.39 - £43.20 per hour + PAYE/Umbrella;Outsource UK Limited;Based in Samlesbury a Java Software Engineer is required on a 9-month contract basis to work for a Defence client. Hourly Pay Rate £32.39 PAYE or £43.20 Umbrella This role is based in Samlesbury although the location is not critical as this role is suited to home working. Overview * The Software Developer will work as part of a team of engineers that will be located across different sites and will be responsible for the development and low-level testing of software products that will be delivered into the Supply Chain Management System. * Liaise with the software team who are split between Samlesbury and Yeovil. * Provide support to the training and coaching of less experienced members of the team. * The role will provide support to the SJT lead, in understanding the Java capabilities and exploiting these in the delivery of a more effective SJT toolset. Skills
Software Engineer (C++);M50, Salford;£50000 - £60000 per annum;IN4 Talent;We are workign with a modern day technology business who have platform for businesses in luxury retail, fashion & art, enabling creation of virtual stores that boost sales and customer engagement. THe company was created with a purpose to re-define e-commerce, changing the way brands and products are presented online. With a vision to become the world's leading solution for e-commerce front-end, we are building new technology frontier, highly-differentiated virtual experiences which extend brands' physical retail experience into the digital world, adding a layer of interactivity and personalisation by using cutting edge 3D technology. About the role We are looking for an C++ Software Engineer to join our clients Engineering team who has an interest in learning skills within Unreal/Unity. This position is remote and full-time.
Software Engineer;Knott Mill, M1;Unspecified;Amber Resourcing;Mid-Level Software Engineer | £45,000 - £50,000 Basic | Manchester Central (Hybrid Working) .Net Core | .Net 5 | C# | AWS | Kubernetes | Angular | Azure DevOps | TeamCity | Octopus | Google Cloud Platform GCP The Company - Software Engineer My client are one of the fastest growing FinTechs in the UK. They have received several rounds of investment including £10 million recently. They have flourished across the last few years, including success over the covid period, and are now looking to invest into the technical team. They are in process of expanding their product suite and therefore are looking for a Senior Software Engineer to add to the team to help create a host of greenfield projects. They operate in the B2B fintech space. Their products vary from payment automation, AI-based solutions, payments solutions.
Software Engineer - PHP / JavaScript - Remote;Manchester, Greater Manchester;£30000 - £60000 per annum + Remote work - Flexible working;Oscar Associates (UK) Limited;Software Engineer - PHP / JavaScript | £60,000 | Sports Brand | Full Remote The main focus of this role will be the maintenance and optimisation of the PHP & JavaScript applications on MySQL databases. You'll also get involved in improving the system's interfaces, services and applications which are used globally. You will be responsible for modernizing the current products and updating the tech stack. We are looking for experienced Developers who enjoy knowledge sharing and researching emerging technology trends. * Backend: PHP, ideally MVC framework experience * Frontend: JavaScript, ideally frameworks such as ReactJS * AWS * SQL databases One UK's of leading sports labels with a growing presence in Europe, Asia and the US.
Backend Software Engineer - Java;M1, Manchester;Up to £35000 per annum;Tech Returners;Job Title: Backend Software Engineer - Java Location: Remote (Office Based in Manchester) Salary: From £35,000 Job type: Full Time Are you an experienced java software engineer looking to return to your tech career following a break? Tech Returners provides the UK's only free 'Your Return to Tech' programme designed to support returners back into successful tech jobs. At Tech Returners, we partner with businesses focused on hiring inclusive and diverse tech teams - this enables us to offer a course that's totally free to individuals. Our upcoming 'Your Return to Tech' programme starts in October 2022 with interviews to be conducted with hiring businesses in January 2023 - kicking off an exciting start to your year!
